Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
20;27663;"Journal of Conflict Resolution";journal;"15528766, 00220027";"SAGE Publications Inc.";No;No;1,893;Q1;138;87;217;6122;807;217;3,26;70,37;27,32;9;United States;Northern America;"SAGE Publications Inc.";"1957-2026";"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
21;24034;"Democratization";journal;"13510347, 1743890X";"Taylor and Francis Ltd.";No;No;1,848;Q1;83;146;233;11015;1161;230;4,64;75,45;34,83;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2026";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
22;29032;"New Political Economy";journal;"14699923, 13563467";"Routledge";No;No;1,809;Q1;85;81;188;5802;1136;188;4,96;71,63;31,65;6;United Kingdom;Western Europe;"Routledge";"1996-2026";"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
23;19875;"Journal of Common Market Studies";journal;"14685965, 00219886";"Wiley-Blackwell Publishing Ltd";No;No;1,804;Q1;118;165;327;10862;1831;320;5,62;65,83;37,09;25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1962-2026";"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Political Science and International Relations (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
24;11600153640;"Quarterly Journal of Political Science";journal;"15540634, 15540626";"Now Publishers Inc";No;No;1,792;Q1;51;16;46;1108;94;44;2,00;69,25;6,90;1;United States;Northern America;"Now Publishers Inc";"2006-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
25;24592;"European Journal of International Relations";journal;"14603713, 13540661";"SAGE Publications Ltd";No;No;1,776;Q1;117;68;122;6528;590;121;5,07;96,00;37,86;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
26;21100264650;"European Political Science Review";journal;"17557739, 17557747";"Cambridge University Press";Yes;No;1,743;Q1;59;57;108;4156;465;108;4,00;72,91;30,23;0;United Kingdom;Western Europe;"Cambridge University Press";"2009-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
27;23465;"China Quarterly";journal;"03057410, 14682648";"Cambridge University Press";No;No;1,722;Q1;109;61;165;3151;688;162;3,47;51,66;33,64;0;United Kingdom;Western Europe;"Cambridge University Press";"1960-2026";"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
28;25118;"Geopolitics";journal;"14650045, 15573028";"Routledge";No;No;1,708;Q1;77;134;256;11861;1489;249;5,16;88,51;49,07;11;United Kingdom;Western Europe;"Routledge";"1986, 1998-2026";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
29;25654;"Post-Soviet Affairs";journal;"1060586X";"Taylor and Francis Ltd.";No;No;1,707;Q1;61;35;87;2573;458;84;4,64;73,51;62,12;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2026";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
30;21101045769;"European Security";journal;"17461545, 09662839";"Taylor and Francis Ltd.";No;No;1,669;Q1;42;50;100;3706;574;98;4,61;74,12;35,90;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2026";"Political Science and International Relations (Q1)";"Social Sciences"
31;4900152303;"Global Environmental Politics";journal;"15263800";"MIT Press";No;No;1,646;Q1;81;15;101;907;516;93;5,42;60,47;70,83;1;United States;Northern America;"MIT Press";"2006-2025";"Global and Planetary Change (Q1); Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Environmental Science; Social Sciences"
32;25848;"International Studies Quarterly";journal;"14682478, 00208833";"Oxford University Press";No;No;1,643;Q1;133;104;353;8003;1405;353;3,40;76,95;45,15;8;United States;Northern America;"Oxford University Press";"1971-1974, 1976, 1978, 1982-1983, 1985, 1987-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
33;25849;"International Studies Review";journal;"15219488, 14682486";"Oxford University Press";No;No;1,620;Q1;83;19;152;2029;711;150;4,10;106,79;35,59;1;United States;Northern America;"Oxford University Press";"1999-2026";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
34;27944;"Review of International Studies";journal;"14699044, 02602105";"Cambridge University Press";No;No;1,609;Q1;100;110;182;15037;903;179;4,01;136,70;45,81;0;United Kingdom;Western Europe;"Cambridge University Press";"1976, 1981-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
35;28011;"Security Studies";journal;"15561852, 09636412";"Routledge";No;No;1,552;Q1;70;30;114;1580;273;78;2,08;52,67;25,58;1;United Kingdom;Western Europe;"Routledge";"1991-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
36;130158;"British Journal of Politics and International Relations";journal;"13691481, 1467856X";"SAGE Publications Inc.";No;No;1,510;Q1;65;105;143;10223;752;142;3,75;97,36;32,77;5;United Kingdom;Western Europe;"SAGE Publications Inc.";"2005-2026";"Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1)";"Environmental Science; Social Sciences"
37;5700162364;"Journal of European Integration";journal;"07036337, 14772280";"Routledge";No;No;1,503;Q1;62;94;198;6118;947;196;4,83;65,09;45,03;8;United Kingdom;Western Europe;"Routledge";"1977-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
38;23439;"Politics and Society";journal;"00323292, 15527514";"SAGE Publications Inc.";No;No;1,482;Q1;89;22;64;1257;325;59;3,37;57,14;30,95;2;United States;Northern America;"SAGE Publications Inc.";"1970-1990, 1992-2026";"Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
39;21100865122;"Research and Politics";journal;"20531680";"SAGE Publications Ltd";Yes;No;1,467;Q1;36;221;112;1533;363;111;2,97;6,94;33,08;67;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2026";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
40;5700168564;"Policy and Society";journal;"18393373, 14494035";"Oxford University Press";Yes;No;1,442;Q1;70;37;105;2572;793;104;5,31;69,51;43,66;7;United Kingdom;Western Europe;"Oxford University Press";"2002-2003, 2008-2026";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
41;5700166813;"Journal of Chinese Political Science";journal;"10806954, 18746357";"Springer Netherlands";No;No;1,415;Q1;36;37;89;2924;520;88;6,88;79,03;41,27;1;Netherlands;Western Europe;"Springer Netherlands";"1995-1997, 2003, 2008-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
42;17600155050;"Asian Economic Policy Review";journal;"18328105, 17483131";"Wiley-Blackwell Publishing Ltd";No;No;1,396;Q1;34;38;109;501;324;35;1,90;13,18;25,00;4;Australia;Pacific Region;"Wiley-Blackwell Publishing Ltd";"2008-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
43;9700153101;"Chinese Journal of International Politics";journal;"17508924, 17508916";"Oxford University Press";No;No;1,393;Q1;49;26;64;3375;240;64;4,00;129,81;25,00;0;United Kingdom;Western Europe;"Oxford University Press";"2006-2025";"Political Science and International Relations (Q1)";"Social Sciences"
44;5600152888;"Journal of Genocide Research";journal;"14623528, 14699494";"Taylor and Francis Ltd.";No;No;1,382;Q1;42;72;104;4186;389;93;4,27;58,14;43,02;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1999-2026";"History (Q1); Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
45;21101063742;"Earth System Governance";journal;"25898116";"Elsevier B.V.";Yes;No;1,371;Q1;29;68;89;5484;504;80;4,72;80,65;50,86;4;Netherlands;Western Europe;"Elsevier B.V.";"2019-2026";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Global and Planetary Change (Q2)";"Environmental Science; Social Sciences"
46;1000147124;"European Union Politics";journal;"17412757, 14651165";"SAGE Publications Ltd";No;No;1,359;Q1;83;37;115;2253;411;111;3,16;60,89;45,71;5;United Kingdom;Western Europe;"SAGE Publications Ltd";"2000-2026";"Demography (Q1); Health (social science) (Q1); Political Science and International Relations (Q1)";"Social Sciences"
47;25833;"International Political Science Review";journal;"01925121, 1460373X";"SAGE Publications Ltd";No;No;1,344;Q1;76;80;131;4051;569;127;3,85;50,64;38,26;5;United Kingdom;Western Europe;"SAGE Publications Ltd";"1980-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
48;28523;"Terrorism and Political Violence";journal;"15561836, 09546553";"Routledge";No;No;1,328;Q1;70;145;228;11641;867;227;3,16;80,28;40,06;16;United Kingdom;Western Europe;"Routledge";"1989-2026";"Political Science and International Relations (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Sociology and Political Science (Q1)";"Engineering; Social Sciences"
49;21101162821;"Global Studies Quarterly";journal;"26343797";"Oxford University Press";Yes;No;1,320;Q1;19;121;243;9568;898;242;3,42;79,07;50,00;1;United Kingdom;Western Europe;"Oxford University Press";"2021-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
50;26359;"Journal of International Relations and Development";journal;"14086980, 15811980";"Palgrave Macmillan Ltd.";No;No;1,278;Q1;49;25;103;1997;418;100;4,28;79,88;52,94;1;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1998-2026";"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
51;23930;"Conflict Management and Peace Science";journal;"07388942, 15499219";"SAGE Publications Inc.";No;No;1,249;Q1;60;50;100;3358;294;97;1,75;67,16;41,05;1;United Kingdom;Western Europe;"SAGE Publications Inc.";"1973, 1975-1986, 1988-1996, 1998-2026";"Economics and Econometrics (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
52;145598;"European Journal of International Law";journal;"09385428, 14643596";"Oxford University Press";No;No;1,240;Q1;86;29;149;4265;293;128;1,63;147,07;35,48;0;United Kingdom;Western Europe;"Oxford University Press";"2005-2025";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
53;21101095132;"Behavioural Public Policy";journal;"23980648, 2398063X";"Cambridge University Press";No;No;1,200;Q1;29;86;159;4451;610;153;3,45;51,76;35,29;10;United Kingdom;Western Europe;"Cambridge University Press";"2017-2026";"Applied Psychology (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
54;19900193691;"Journal of Political Ecology";journal;"10730451";"University of Arizona Libraries";Yes;Yes;1,187;Q1;48;61;147;5052;546;147;3,73;82,82;59,50;1;United States;Northern America;"University of Arizona Libraries";"1999, 2001-2002, 2004, 2011-2026";"Ecology (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Environmental Science; Social Sciences"
55;19400158595;"World Trade Review";journal;"14747456, 14753138";"Cambridge University Press";No;No;1,183;Q1;42;52;111;4421;301;106;2,66;85,02;29,17;0;United Kingdom;Western Europe;"Cambridge University Press";"2002-2026";"Economics and Econometrics (Q1); Law (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
56;25666;"Common Market Law Review";journal;"01650750, 18758320";"Kluwer Law International";No;No;1,182;Q1;74;50;211;6096;481;184;1,98;121,92;44,23;1;Netherlands;Western Europe;"Kluwer Law International";"1996-2025";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
57;19900191537;"International Theory";journal;"17529727, 17529719";"Cambridge University Press";Yes;No;1,158;Q1;50;25;65;2660;201;64;3,42;106,40;32,26;0;United Kingdom;Western Europe;"Cambridge University Press";"2009-2026";"Law (Q1); Philosophy (Q1); Political Science and International Relations (Q1)";"Arts and Humanities; Social Sciences"
58;25136;"German Politics";journal;"09644008, 17438993";"Routledge";No;No;1,144;Q1;29;60;100;3931;360;94;3,91;65,52;38,24;4;United Kingdom;Western Europe;"Routledge";"1992-1995, 2010-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
59;64461;"European Journal of Political Economy";journal;"01762680";"Elsevier B.V.";No;No;1,131;Q1;108;127;322;8255;1097;318;3,42;65,00;25,00;13;Netherlands;Western Europe;"Elsevier B.V.";"1985-2026";"Economics and Econometrics (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
60;13519;"Contemporary Southeast Asia";journal;"0129797X";"ISEAS - Yusof Ishak Institute";No;No;1,114;Q1;49;23;67;1430;181;64;2,60;62,17;36,36;1;Singapore;Asiatic Region;"ISEAS - Yusof Ishak Institute";"1979-2025";"Development (Q1); History (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
61;16474;"Journal of Contemporary China";journal;"10670564, 14699400";"Routledge";No;No;1,114;Q1;73;88;184;114;748;183;4,13;1,30;41,78;6;United Kingdom;Western Europe;"Routledge";"1992-2026";"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
62;5600152808;"Acta Politica";journal;"17411416, 00016810";"Palgrave Macmillan";No;No;1,107;Q1;50;65;129;4202;403;127;3,37;64,65;39,06;2;United Kingdom;Western Europe;"Palgrave Macmillan";"2006-2026";"Political Science and International Relations (Q1)";"Social Sciences"
63;26459;"Latin American Politics and Society";journal;"15482456, 1531426X";"Cambridge University Press";No;No;1,107;Q1;58;32;94;2028;211;87;2,62;63,38;21,82;1;United States;Northern America;"Cambridge University Press";"2001-2026";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
64;28007;"Security Dialogue";journal;"14603640, 09670106";"SAGE Publications Ltd";No;No;1,101;Q1;95;42;99;3591;375;99;2,88;85,50;57,14;2;United Kingdom;Western Europe;"SAGE Publications Ltd";"1970-1972, 1976-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
65;21100244407;"East European Politics";journal;"21599165, 21599173";"Taylor and Francis Ltd.";No;No;1,098;Q1;38;43;99;2892;386;99;2,70;67,26;45,21;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2026";"Development (Q1); Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
66;22743;"International Environmental Agreements: Politics, Law and Economics";journal;"15679764, 15731553";"Springer Netherlands";No;No;1,091;Q1;58;38;96;2618;401;94;3,97;68,89;49,12;4;Netherlands;Western Europe;"Springer Netherlands";"2002-2026";"Economics and Econometrics (Q1); Law (Q1); Political Science and International Relations (Q1)";"Economics, Econometrics and Finance; Social Sciences"
67;4000149610;"Politics";journal;"14679256, 02633957";"SAGE Publications Inc.";No;No;1,088;Q1;50;74;110;4742;463;110;3,96;64,08;33,33;5;United Kingdom;Western Europe;"SAGE Publications Inc.";"1966-1995, 1997, 2006-2026";"Political Science and International Relations (Q1)";"Social Sciences"
68;23952;"Cooperation and Conflict";journal;"00108367, 14603691";"SAGE Publications Ltd";No;No;1,078;Q1;61;76;91;6328;345;89;3,59;83,26;50,38;9;United Kingdom;Western Europe;"SAGE Publications Ltd";"1965, 1967-2026";"Development (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Social Sciences"
69;5700163398;"Swiss Political Science Review";journal;"14247755, 16626370";"Wiley-Blackwell";No;No;1,074;Q1;49;54;88;3627;226;78;2,13;67,17;39,08;1;United States;Northern America;"Wiley-Blackwell";"1995-2026";"Political Science and International Relations (Q1)";"Social Sciences"
70;145601;"International Relations of the Asia-Pacific";journal;"14704838, 1470482X";"Oxford University Press";No;No;1,045;Q1;40;18;48;1315;164;48;2,91;73,06;30,77;0;United Kingdom;Western Europe;"Oxford University Press";"2001-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
