Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
163;19700188322;"Journal of Human Rights";journal;"14754843, 14754835";"Carfax Publishers";No;No;0,653;Q1;32;38;117;2706;248;116;1,96;71,21;64,62;2;United Kingdom;Western Europe;"Carfax Publishers";"2010-2026";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
164;21100886395;"Journal of International Dispute Settlement";journal;"20403585, 20403593";"Oxford University Press";No;No;0,651;Q1;30;62;88;8534;105;81;1,31;137,65;40,54;2;United Kingdom;Western Europe;"Oxford University Press";"2010-2026";"Law (Q1); Political Science and International Relations (Q1)";"Social Sciences"
165;26863;"Middle East Policy";journal;"14754967, 10611924";"Wiley-Blackwell Publishing Ltd";No;No;0,648;Q1;38;47;119;2788;196;116;1,97;59,32;17,39;7;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1992-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
166;21101108743;"Global Public Policy and Governance";journal;"27306305, 27306291";"";No;No;0,644;Q1;14;30;72;1526;228;62;1,98;50,87;27,45;0;China;Asiatic Region;"";"2021-2026";"Political Science and International Relations (Q1); Development (Q2); Management, Monitoring, Policy and Law (Q2); Public Administration (Q2)";"Environmental Science; Social Sciences"
167;19700201206;"African Security";journal;"19392214, 19392206";"Taylor and Francis Ltd.";No;No;0,640;Q1;27;25;44;1309;81;36;1,72;52,36;22,58;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2026";"Political Science and International Relations (Q1); Safety Research (Q1)";"Social Sciences"
168;28957;"Japan and the World Economy";journal;"09221425";"Elsevier B.V.";No;No;0,637;Q1;45;23;77;893;144;77;1,85;38,83;13,04;1;Netherlands;Western Europe;"Elsevier B.V.";"1988-2026";"Political Science and International Relations (Q1); Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance; Social Sciences"
169;21101337219;"Journal of Pacifism and Nonviolence";journal;"27727882, 27727874";"Brill Academic Publishers";No;No;0,635;Q1;6;18;27;1159;53;27;1,96;64,39;40,91;0;Netherlands;Western Europe;"Brill Academic Publishers";"2023-2026";"Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
170;27574;"Regional and Federal Studies";journal;"13597566, 17439434";"Routledge";No;No;0,635;Q1;48;69;99;4521;195;99;1,70;65,52;35,65;2;United Kingdom;Western Europe;"Routledge";"1995-2026";"Political Science and International Relations (Q1); Geography, Planning and Development (Q2)";"Social Sciences"
171;26587;"Studies in Comparative International Development";journal;"00393606, 19366167";"Springer New York";No;No;0,634;Q1;68;55;81;4519;172;79;2,12;82,16;48,54;6;United States;Northern America;"Springer New York";"1965-1970, 1972-2026";"Political Science and International Relations (Q1); Sociology and Political Science (Q1); Development (Q2)";"Social Sciences"
172;21100371203;"Revista de Derecho Politico";journal;"21745625, 0211979X";"Universidad Nacional de Educacion a Distancia (UNED)";Yes;Yes;0,633;Q1;10;37;119;1550;64;118;0,64;41,89;40,63;0;Spain;Western Europe;"Universidad Nacional de Educacion a Distancia (UNED)";"2014-2025";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
173;21100840031;"Critical Military Studies";journal;"23337486, 23337494";"Taylor and Francis Ltd.";No;No;0,632;Q1;27;52;98;3030;177;96;1,70;58,27;60,32;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2026";"History (Q1); Law (Q1); Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Management Science and Operations Research (Q2)";"Arts and Humanities; Decision Sciences; Social Sciences"
174;21101259366;"Journal of Political Institutions and Political Economy";journal;"26894815, 26894823";"Now Publishers Inc";No;No;0,624;Q1;9;18;70;810;57;70;0,51;45,00;8,57;0;United States;Northern America;"Now Publishers Inc";"2020-2025";"Political Science and International Relations (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance; Social Sciences"
175;21101181971;"Czech Journal of International Relations";journal;"27882985, 27882993";"Institute of International Relations Prague";Yes;No;0,622;Q1;8;18;65;1192;62;59;1,22;66,22;63,33;0;Czech Republic;Eastern Europe;"Institute of International Relations Prague";"2000, 2020, 2023-2025";"Political Science and International Relations (Q1)";"Social Sciences"
176;27760;"New Left Review";journal;"00286060";"New Left Review Subscriptions";No;No;0,622;Q1;86;0;45;0;126;41;1,93;0,00;0,00;0;United Kingdom;Western Europe;"New Left Review Subscriptions";"1984, 1987, 1996-2024";"Political Science and International Relations (Q1); Sociology and Political Science (Q2)";"Social Sciences"
177;25834;"International Politics";journal;"17403898, 13845748";"Palgrave Macmillan Ltd.";No;No;0,611;Q1;47;129;288;8248;545;287;1,60;63,94;36,20;6;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1996-2026";"Political Science and International Relations (Q1); Geography, Planning and Development (Q2)";"Social Sciences"
178;21100782393;"Innovation and Development";journal;"2157930X, 21579318";"Taylor and Francis Ltd.";No;No;0,608;Q1;23;61;94;4183;269;86;2,83;68,57;31,62;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2015-2026";"Cultural Studies (Q1); Political Science and International Relations (Q1); Development (Q2); Education (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)";"Social Sciences"
179;5700163255;"International Peacekeeping";journal;"13533312, 1743906X";"Taylor and Francis Ltd.";No;No;0,606;Q1;50;39;70;2962;151;67;2,07;75,95;53,85;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-1999, 2001-2026";"Political Science and International Relations (Q1)";"Social Sciences"
180;4700152728;"Bulletin of the Atomic Scientists";journal;"19383282, 00963402";"Taylor and Francis Ltd.";No;No;0,598;Q2;36;54;163;1641;225;110;1,42;30,39;34,72;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1946-1996, 1998-2026";"Political Science and International Relations (Q2)";"Social Sciences"
181;19900188083;"Island Studies Journal";journal;"17152593";"";Yes;Yes;0,597;Q2;35;24;83;1400;177;82;1,72;58,33;54,72;2;Hong Kong;Asiatic Region;"";"2010-2025";"Geography, Planning and Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
182;21101121584;"Review of Economics and Political Science";journal;"26313561, 23569980";"Emerald Publishing";Yes;No;0,595;Q2;19;40;80;2221;324;80;3,61;55,53;54,55;0;United Kingdom;Western Europe;"Emerald Publishing";"2018-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Applied Mathematics (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Statistics and Probability (Q2)";"Economics, Econometrics and Finance; Mathematics; Social Sciences"
183;24191;"Review of Political Economy";journal;"14653982, 09538259";"Taylor and Francis Ltd.";No;No;0,595;Q2;41;161;237;10849;553;216;2,12;67,39;27,31;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-1996, 2002-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Political Science and International Relations (Q2)";"Economics, Econometrics and Finance; Social Sciences"
184;5800169269;"Chinese Journal of International Law";journal;"15401650, 17469937";"Oxford University Press";No;No;0,588;Q2;29;27;85;3171;85;60;1,07;117,44;41,94;0;United Kingdom;Western Europe;"Oxford University Press";"2008-2025";"Law (Q1); Political Science and International Relations (Q2)";"Social Sciences"
185;19700170839;"Journal of Human Rights Practice";journal;"17579619, 17579627";"Oxford University Press";No;No;0,587;Q2;30;52;173;3057;385;171;2,32;58,79;62,50;7;United Kingdom;Western Europe;"Oxford University Press";"2009-2026";"History (Q1); Law (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
186;21101077280;"Frontiers in Political Science";journal;"26733145";"Frontiers Media SA";Yes;No;0,586;Q2;28;329;497;21345;1092;450;1,85;64,88;37,15;7;Switzerland;Western Europe;"Frontiers Media SA";"2019-2026";"Safety Research (Q1); Political Science and International Relations (Q2); Public Administration (Q2); Sociology and Political Science (Q2)";"Social Sciences"
187;5800170461;"South African Journal of International Affairs";journal;"10220461, 19380275";"Routledge";No;No;0,584;Q2;28;27;83;710;234;80;2,82;26,30;38,89;0;United Kingdom;Western Europe;"Routledge";"1993-2025";"Political Science and International Relations (Q2)";"Social Sciences"
188;26623;"Alternatives";journal;"21633150, 03043754";"SAGE Publications Inc.";No;No;0,583;Q2;53;68;64;4879;160;59;2,29;71,75;35,29;3;United States;Northern America;"SAGE Publications Inc.";"1975-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
189;21100840020;"Perspectives on Terrorism";journal;"23343745";"International Centre for Counter-Terrorism (ICCT)";Yes;Yes;0,577;Q2;27;21;111;3298;170;109;1,48;157,05;50,00;0;United States;Northern America;"International Centre for Counter-Terrorism (ICCT)";"2017-2025";"Law (Q1); Political Science and International Relations (Q2); Safety Research (Q2)";"Social Sciences"
190;21101152733;"Legality: Jurnal Ilmiah Hukum";journal;"08546509, 25494600";"University of Muhammadiyah Malang";No;No;0,576;Q2;13;30;65;1707;206;65;3,64;56,90;29,23;0;Indonesia;Asiatic Region;"University of Muhammadiyah Malang";"2019-2025";"Law (Q1); Religious Studies (Q1); Social Sciences (miscellaneous) (Q1); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences"
191;21100940340;"Forest and Society";journal;"25494333, 25494724";"Hasanuddin University";Yes;No;0,571;Q2;25;33;87;2291;266;87;3,10;69,42;36,45;1;Indonesia;Asiatic Region;"Hasanuddin University";"2017-2025";"Cultural Studies (Q1); Forestry (Q1); Geography, Planning and Development (Q2); Nature and Landscape Conservation (Q2); Plant Science (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Agricultural and Biological Sciences; Environmental Science; Social Sciences"
192;21100886532;"Economic and Political Studies";journal;"24704024, 20954816";"Routledge";No;No;0,569;Q2;22;23;81;1091;240;75;2,88;47,43;40,74;1;United Kingdom;Western Europe;"Routledge";"2013-2026";"Economics and Econometrics (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
193;5800170866;"Irish Political Studies";journal;"07907184, 17439078";"Routledge";No;No;0,566;Q2;31;30;67;1537;101;61;0,72;51,23;50,00;1;United Kingdom;Western Europe;"Routledge";"1986-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
194;5800169167;"Journal of East Asian Studies";journal;"22346643, 15982408";"Cambridge University Press";Yes;No;0,563;Q2;34;17;63;1236;140;63;2,18;72,71;32,26;0;United Kingdom;Western Europe;"Cambridge University Press";"2002, 2008-2026";"Development (Q2); Economics and Econometrics (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
195;19096;"Journal of North African Studies";journal;"17439345, 13629387";"Routledge";No;No;0,562;Q2;35;64;157;3867;194;136;1,10;60,42;49,32;3;United Kingdom;Western Europe;"Routledge";"1996-2026";"Development (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2)";"Social Sciences"
196;5700164101;"French Politics";journal;"14763427, 14763419";"Palgrave Macmillan Ltd.";No;No;0,558;Q2;20;32;92;1954;110;65;1,02;61,06;38,64;0;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2005, 2009-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
197;5600156543;"Netherlands Quarterly of Human Rights";journal;"01693441";"Stichting Studie- en Informatiecentrum Mensenrechten";Yes;No;0,558;Q2;29;14;57;1186;92;48;1,38;84,71;71,43;0;Netherlands;Western Europe;"Stichting Studie- en Informatiecentrum Mensenrechten";"1999, 2006-2025";"Law (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
198;16405;"East Asia";journal;"18746284, 10966838";"Springer Netherlands";No;No;0,557;Q2;27;37;63;2612;149;63;2,15;70,59;17,31;1;Netherlands;Western Europe;"Springer Netherlands";"1996-2026";"Development (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2)";"Social Sciences"
199;12793;"Peace and Conflict";journal;"10781919, 15327949";"American Psychological Association";No;No;0,552;Q2;48;36;161;2031;269;161;1,47;56,42;61,32;0;United States;Northern America;"American Psychological Association";"2002-2025";"Political Science and International Relations (Q2)";"Social Sciences"
200;21100899438;"Communication Research and Practice";journal;"22063374";"Taylor and Francis Ltd.";No;No;0,551;Q2;23;45;94;2156;182;77;2,27;47,91;69,70;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016, 2018-2025";"Communication (Q2); Computer Networks and Communications (Q2); Marketing (Q2); Political Science and International Relations (Q2); Human-Computer Interaction (Q3)";"Business, Management and Accounting; Computer Science; Social Sciences"
201;5800169383;"Asian Security";journal;"15552764, 14799855";"Routledge";No;No;0,548;Q2;27;16;43;931;64;42;1,35;58,19;38,10;3;United Kingdom;Western Europe;"Routledge";"2010-2026";"Political Science and International Relations (Q2); Safety Research (Q2)";"Social Sciences"
202;28336;"Ocean Development and International Law";journal;"00908320, 15210642";"Taylor and Francis Ltd.";No;No;0,548;Q2;41;30;78;1040;144;78;1,56;34,67;40,00;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2026";"Law (Q1); Development (Q2); Management, Monitoring, Policy and Law (Q2); Political Science and International Relations (Q2)";"Environmental Science; Social Sciences"
203;21101215063;"Asia and the Global Economy";journal;"26671115";"Elsevier B.V.";Yes;No;0,540;Q2;11;22;64;1043;193;62;2,88;47,41;36,00;0;Netherlands;Western Europe;"Elsevier B.V.";"2021-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Political Science and International Relations (Q2)";"Economics, Econometrics and Finance; Social Sciences"
204;21101179113;"Jurnal Media Hukum";journal;"25031023, 08548919";"Faculty of Law, Universitas Muhammadiyah Yogyakarta";Yes;No;0,540;Q2;9;20;40;882;123;40;3,30;44,10;37,29;0;Indonesia;Asiatic Region;"Faculty of Law, Universitas Muhammadiyah Yogyakarta";"2019-2025";"Law (Q1); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
205;21100805796;"Insight on Africa";journal;"09763465, 09750878";"SAGE Publications Inc.";No;No;0,539;Q2;16;18;34;972;99;34;2,91;54,00;29,17;1;United Kingdom;Western Europe;"SAGE Publications Inc.";"2009-2010, 2012, 2014-2026";"History (Q1); Development (Q2); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences"
206;21101039079;"Central European Management Journal";journal;"26580845, 26582430";"Emerald Publishing";Yes;Yes;0,536;Q2;18;66;90;4783;345;90;4,69;72,47;52,74;0;Poland;Eastern Europe;"Emerald Publishing";"2020-2026";"Business, Management and Accounting (miscellaneous) (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)";"Business, Management and Accounting; Psychology; Social Sciences"
207;21101185683;"Journal of Race Ethnicity and the City";journal;"26884674, 26884682";"Routledge";No;No;0,535;Q2;10;15;29;1154;52;25;1,56;76,93;59,09;0;United States;Northern America;"Routledge";"2020-2026";"Anthropology (Q1); Geography, Planning and Development (Q2); Political Science and International Relations (Q2); Public Administration (Q2); Sociology and Political Science (Q2); Urban Studies (Q2)";"Social Sciences"
208;21101390133;"Asian Review of Political Economy";journal;"27315835";"Springer Nature";No;No;0,534;Q2;5;24;22;1605;68;21;3,09;66,88;31,58;0;China;Asiatic Region;"Springer Nature";"2024-2026";"Business and International Management (Q2); Development (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
209;21100805792;"Studies in Indian Politics";journal;"23210230, 23217472";"SAGE Publications Inc.";No;No;0,534;Q2;15;22;76;1028;94;59;0,71;46,73;39,13;1;United Kingdom;Western Europe;"SAGE Publications Inc.";"2014-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
210;21101186201;"Quaderni dell'Osservatorio Elettorale";journal;"27244679, 03926753";"Firenze University Press";Yes;Yes;0,526;Q2;7;15;24;694;42;22;1,80;46,27;32,35;0;Italy;Western Europe;"Firenze University Press";"2019-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
211;14600154704;"Pacific Focus";journal;"12254657, 19765118";"Wiley-Blackwell";No;No;0,525;Q2;18;22;60;1365;68;59;1,25;62,05;34,62;0;United States;Northern America;"Wiley-Blackwell";"1986-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
212;26842;"Journal of World Trade";journal;"22102795, 10116702";"Kluwer Law International";No;No;0,524;Q2;40;43;125;2397;189;124;1,34;55,74;34,62;3;Netherlands;Western Europe;"Kluwer Law International";"1989, 1996-2026";"Law (Q1); Economics and Econometrics (Q2); Political Science and International Relations (Q2)";"Economics, Econometrics and Finance; Social Sciences"
213;6000177137;"New Perspectives";journal;"23368268, 2336825X";"Institute of International Relations";No;No;0,520;Q2;18;23;77;1183;113;59;1,72;51,43;28,13;0;Czech Republic;Eastern Europe;"Institute of International Relations";"2015-2026";"Political Science and International Relations (Q2)";"Social Sciences"
214;21101146405;"Journal of Human Rights, Culture and Legal System";journal;"28072812, 28072979";"Lembaga Contrarius Indonesia";Yes;No;0,519;Q2;17;35;79;2661;302;79;4,13;76,03;20,29;1;Indonesia;Asiatic Region;"Lembaga Contrarius Indonesia";"2021-2026";"Law (Q1); Environmental Science (miscellaneous) (Q2); Political Science and International Relations (Q2); Public Administration (Q2)";"Environmental Science; Social Sciences"
215;19900192514;"Dynamics of Asymmetric Conflict: Pathways toward Terrorism and Genocide";journal;"17467594, 17467586";"Routledge";No;No;0,512;Q2;21;19;41;1226;74;36;1,41;64,53;35,00;0;United Kingdom;Western Europe;"Routledge";"2010-2025";"Cultural Studies (Q1); Law (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Social Psychology (Q3)";"Psychology; Social Sciences"
216;5600155013;"Intelligence and National Security";journal;"17439019, 02684527";"Routledge";No;No;0,512;Q2;38;80;195;4779;245;191;1,26;59,74;30,86;4;United Kingdom;Western Europe;"Routledge";"1986-2026";"History (Q1); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences"
217;26917;"Nationalism and Ethnic Politics";journal;"15572986, 13537113";"Routledge";No;No;0,511;Q2;36;40;78;3173;134;74;2,04;79,33;30,30;3;United Kingdom;Western Europe;"Routledge";"1995-2026";"Geography, Planning and Development (Q2); Political Science and International Relations (Q2)";"Social Sciences"
218;12100157009;"Politics and Policy";journal;"17471346, 15555623";"John Wiley and Sons Inc";No;No;0,508;Q2;39;108;184;7911;417;167;2,28;73,25;34,73;4;United States;Northern America;"John Wiley and Sons Inc";"2001-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
219;5700163232;"Contemporary Political Theory";journal;"14708914, 14769336";"Palgrave Macmillan Ltd.";No;No;0,507;Q2;24;31;72;1614;137;64;1,57;52,06;45,07;1;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2009-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
220;12100157240;"Journal of Public Affairs";journal;"14791854, 14723891";"Wiley-Blackwell";No;No;0,503;Q2;54;90;548;6380;1793;544;2,49;70,89;31,61;0;United States;Northern America;"Wiley-Blackwell";"2001, 2008-2026";"Political Science and International Relations (Q2); Public Administration (Q2)";"Social Sciences"
221;12100156090;"British Politics";journal;"1746918X, 17469198";"Palgrave Macmillan Ltd.";No;No;0,500;Q2;37;37;84;2286;152;84;1,82;61,78;32,20;5;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2006-2026";"History (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
222;20841;"Health and Human Rights";journal;"10790969, 21504113";"Harvard School of Public Health";Yes;No;0,499;Q2;49;59;119;494;226;85;1,48;8,37;66,98;0;United States;Northern America;"Harvard School of Public Health";"1994-2001, 2003-2004, 2006, 2008-2025";"Health (social science) (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
223;21100773741;"Journal of Policing, Intelligence and Counter Terrorism";journal;"18335330, 21595364";"Taylor and Francis Ltd.";No;No;0,499;Q2;19;35;76;1957;146;65;1,81;55,91;35,42;2;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2006-2013, 2016-2026";"Law (Q1); Political Science and International Relations (Q2)";"Social Sciences"
224;5700163885;"Southeast European and Black Sea Studies";journal;"17439639, 14683857";"Routledge";No;No;0,498;Q2;34;82;147;5759;292;145;2,10;70,23;46,22;3;United Kingdom;Western Europe;"Routledge";"2008-2026";"History (Q1); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences"
225;21100915696;"State and Local Government Review";journal;"19433409, 0160323X";"SAGE Publications Inc.";No;No;0,498;Q2;14;33;73;1445;114;69;1,28;43,79;39,13;0;United States;Northern America;"SAGE Publications Inc.";"2012, 2018-2026";"Political Science and International Relations (Q2); Public Administration (Q2)";"Social Sciences"
226;5600155969;"Civil Wars";journal;"13698249, 1743968X";"Routledge";No;No;0,497;Q2;30;41;98;2827;124;81;1,26;68,95;59,65;3;United States;Northern America;"Routledge";"2001-2002, 2010-2026";"History (Q1); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences"
227;12600154765;"Japanese Journal of Political Science";journal;"14681099, 14740060";"Cambridge University Press";Yes;No;0,497;Q2;28;18;63;1392;112;63;1,93;77,33;33,33;0;United Kingdom;Western Europe;"Cambridge University Press";"2000-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
228;5700163096;"International Negotiation";journal;"1382340X, 15718069";"Brill Academic Publishers";No;No;0,496;Q2;27;35;49;2300;73;49;1,21;65,71;43,86;2;Netherlands;Western Europe;"Brill Academic Publishers";"1999, 2002, 2007-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
229;15060;"Africa Spectrum";journal;"18686869, 00020397";"SAGE Publications Inc.";Yes;Yes;0,494;Q2;34;33;51;1873;132;49;2,26;56,76;23,21;1;Germany;Western Europe;"SAGE Publications Inc.";"1983-1984, 2006-2026";"Cultural Studies (Q1); Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
230;19900191760;"Journal of Peace Education";journal;"17400201, 1740021X";"Routledge";No;No;0,492;Q2;24;28;52;1591;88;48;1,33;56,82;69,05;0;United Kingdom;Western Europe;"Routledge";"2010-2026";"Education (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
231;5800169272;"International Journal of Intelligence and CounterIntelligence";journal;"15210561, 08850607";"Routledge";No;No;0,489;Q2;27;81;150;4258;174;137;1,21;52,57;22,64;3;United Kingdom;Western Europe;"Routledge";"1986, 1988-1991, 1993-2026";"Political Science and International Relations (Q2)";"Social Sciences"
232;21100780473;"International Journal of Development Issues";journal;"14468956, 17588553";"Emerald Group Publishing Ltd.";No;No;0,488;Q2;29;26;73;1507;210;72;2,82;57,96;44,19;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003-2025";"Development (Q2); Economics and Econometrics (Q2); Political Science and International Relations (Q2)";"Economics, Econometrics and Finance; Social Sciences"
233;21100225612;"Central European Journal of International and Security Studies";journal;"1802548X, 1805482X";"Metropolitni Univerzita Praha";Yes;Yes;0,480;Q2;11;18;53;1230;88;53;2,42;68,33;28,57;0;Czech Republic;Eastern Europe;"Metropolitni Univerzita Praha";"2012-2025";"Political Science and International Relations (Q2); Safety Research (Q2)";"Social Sciences"
234;21101045762;"Critical Studies on Security";journal;"21624909, 21624887";"Taylor and Francis Ltd.";No;No;0,478;Q2;30;62;86;3920;91;65;1,11;63,23;53,23;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2025";"Political Science and International Relations (Q2)";"Social Sciences"
235;22754;"Journal of the Asia Pacific Economy";journal;"13547860, 14699648";"Routledge";No;No;0,478;Q2;45;138;206;8147;529;205;2,67;59,04;40,73;4;United Kingdom;Western Europe;"Routledge";"1996-2026";"Development (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2)";"Social Sciences"
236;5800169484;"Defence Studies";journal;"14702436, 17439698";"Routledge";No;No;0,475;Q2;23;56;114;3527;226;113;1,87;62,98;22,22;10;United Kingdom;Western Europe;"Routledge";"2010-2026";"History (Q1); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences"
237;5700166680;"Revista de Estudios Politicos";journal;"00487694, 19890613";"Centro Estudios Politicos Constitucionales";No;No;0,475;Q2;15;44;109;2091;77;106;0,79;47,52;29,55;0;Spain;Western Europe;"Centro Estudios Politicos Constitucionales";"2008-2025";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
238;24525;"Ethics and International Affairs";journal;"17477093, 08926794";"Cambridge University Press";No;No;0,473;Q2;63;16;94;1143;146;86;1,41;71,44;36,36;0;United States;Northern America;"Cambridge University Press";"1987-2026";"Philosophy (Q1); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences"
239;21100274870;"Global Responsibility to Protect";journal;"1875984X, 18759858";"Brill Academic Publishers";No;No;0,471;Q2;20;19;51;1708;49;47;0,58;89,89;52,38;0;Netherlands;Western Europe;"Brill Academic Publishers";"2013-2026";"Political Science and International Relations (Q2)";"Social Sciences"
240;21101037141;"RUDN Journal of Russian History";journal;"23128674, 23128690";"RUDN University";Yes;Yes;0,470;Q2;6;48;132;1031;54;132;0,42;21,48;44,62;0;Russian Federation;Eastern Europe;"RUDN University";"2019-2025";"History (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences"
241;4100151522;"Political Power and Social Theory";book series;"01988719";"Emerald Group Publishing Ltd.";No;No;0,469;Q2;23;16;31;408;12;9;0,24;25,50;40,00;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000, 2002-2003, 2005-2026";"Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
242;21100797236;"All Azimuth";journal;"21467757";"Center for Foreign Policy and Peace Research, Ihsan Dogramaci Peace Foundation";No;No;0,459;Q2;12;15;36;1104;46;36;1,17;73,60;40,00;0;Turkey;Middle East;"Center for Foreign Policy and Peace Research, Ihsan Dogramaci Peace Foundation";"2012-2025";"Political Science and International Relations (Q2)";"Social Sciences"
243;22273;"Peace Economics, Peace Science and Public Policy";journal;"15548597, 10792457";"Walter de Gruyter GmbH";No;No;0,457;Q2;23;20;53;1010;122;49;2,24;50,50;31,71;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1994-1996, 1999-2026";"Economics and Econometrics (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2); Management, Monitoring, Policy and Law (Q3)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
244;21101047935;"Hasanuddin Law Review";journal;"24429880, 24429899";"Faculty of Law, Universitas Hasanuddin";Yes;Yes;0,455;Q2;11;15;60;578;115;60;2,28;38,53;38,24;0;Indonesia;Asiatic Region;"Faculty of Law, Universitas Hasanuddin";"2017-2025";"Law (Q1); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
245;145648;"Refuge";journal;"19207336, 02295113";"York University Libraries";Yes;Yes;0,454;Q2;37;8;69;563;70;61;0,93;70,38;73,68;0;Canada;Northern America;"York University Libraries";"1996-2025";"Cultural Studies (Q1); Demography (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
