Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
77;21101185302;"Al-Ahwal";journal;"2085627X, 25286617";"Al-Ahwal Research Centre Department of Islamic Family Law, Faculty of Sharia and Law, UIN Sunan Kalijaga";Yes;No;0,382;Q2;8;5;48;227;50;48;1,28;45,40;36,36;0;Indonesia;Asiatic Region;"Al-Ahwal Research Centre Department of Islamic Family Law, Faculty of Sharia and Law, UIN Sunan Kalijaga";"2019-2025";"Arts and Humanities (miscellaneous) (Q1); Religious Studies (Q1); Gender Studies (Q2); Law (Q2)";"Arts and Humanities; Social Sciences"
78;21101318131;"Agricultural and Rural Studies";journal;"29599784";"SCC PRESS";No;No;0,379;Q2;6;22;42;1413;96;39;2,29;64,23;36,92;0;Hong Kong;Asiatic Region;"SCC PRESS";"2023-2026";"Economics, Econometrics and Finance (miscellaneous) (Q2); Gender Studies (Q2); Geography, Planning and Development (Q2)";"Economics, Econometrics and Finance; Social Sciences"
79;21100790313;"Interpersona";journal;"19816472";"Study Group on Assessment, Therapy and Emotions";Yes;Yes;0,368;Q2;13;18;48;975;56;47;1,10;54,17;41,30;0;Germany;Western Europe;"Study Group on Assessment, Therapy and Emotions";"2016-2025";"Cultural Studies (Q1); Anthropology (Q2); Gender Studies (Q2); Developmental and Educational Psychology (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
80;21100425898;"Fat Studies";journal;"2160486X, 21604851";"Taylor and Francis Ltd.";No;No;0,366;Q2;24;36;88;1489;123;82;1,33;41,36;75,00;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2026";"Cultural Studies (Q1); Anthropology (Q2); Gender Studies (Q2); Health (social science) (Q3); Nutrition and Dietetics (Q3); Social Psychology (Q3)";"Nursing; Psychology; Social Sciences"
81;21101284640;"Discover Global Society";journal;"27319687";"Springer Nature";Yes;No;0,356;Q2;8;179;129;11264;246;128;1,91;62,93;36,83;1;Netherlands;Western Europe;"Springer Nature";"2023-2026";"Anthropology (Q2); Gender Studies (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
82;23634;"Gender and Development";journal;"13552074, 13649221";"Routledge";No;No;0,356;Q2;58;33;133;1087;266;108;0,92;32,94;87,50;2;United Kingdom;Western Europe;"Routledge";"1993-2025";"Gender Studies (Q2); Geography, Planning and Development (Q2); Development (Q3)";"Social Sciences"
83;19900191409;"Partner Abuse";journal;"19466560, 19466579";"Springer Publishing Company";No;No;0,355;Q2;16;30;77;2039;96;77;1,06;67,97;68,60;0;United States;Northern America;"Springer Publishing Company";"2011, 2017-2026";"Gender Studies (Q2); Law (Q2); Clinical Psychology (Q3); Health (social science) (Q3); Pediatrics, Perinatology and Child Health (Q3); Social Psychology (Q3)";"Medicine; Psychology; Social Sciences"
84;4700152783;"Journal of Couple and Relationship Therapy";journal;"15332683, 15332691";"Routledge";No;No;0,354;Q2;31;21;58;1062;84;57;1,31;50,57;58,90;0;United States;Northern America;"Routledge";"2002-2026";"Gender Studies (Q2); Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Social Psychology (Q3)";"Psychology; Social Sciences"
85;21101177511;"Journal of LGBTQ Issues in Counseling";journal;"26924951, 2692496X";"Routledge";No;No;0,350;Q2;39;34;84;1323;93;69;1,04;38,91;64,95;0;United Kingdom;Western Europe;"Routledge";"2021-2026";"Gender Studies (Q2); Applied Psychology (Q3); Clinical Psychology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology; Social Sciences"
86;12900154715;"International Journal of Ageing and Later Life";journal;"16528670";"Linkoping University Electronic Press";Yes;Yes;0,346;Q2;25;7;21;418;35;20;0,33;59,71;57,14;0;Sweden;Western Europe;"Linkoping University Electronic Press";"2008-2025";"Cultural Studies (Q1); Gender Studies (Q2); Health (social science) (Q3); Life-span and Life-course Studies (Q3)";"Social Sciences"
87;21100468901;"Retos";journal;"19882041, 15791726";"Federacion Espanola de Docentes de Educacion Fisica";Yes;No;0,337;Q2;35;578;2118;25622;3026;2118;1,46;44,33;33,86;2;Spain;Western Europe;"Federacion Espanola de Docentes de Educacion Fisica";"2016-2025";"Cultural Studies (Q1); Gender Studies (Q2); Pharmacy (Q2); Education (Q3); Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Rehabilitation (Q3)";"Health Professions; Medicine; Social Sciences"
88;21101158599;"Society Register";journal;"25445502";"Uniwersytet im. Adama Mickiewicza w Poznaniu";Yes;Yes;0,335;Q2;8;14;32;764;70;32;2,19;54,57;50,00;1;Poland;Eastern Europe;"Uniwersytet im. Adama Mickiewicza w Poznaniu";"2023-2025";"Cultural Studies (Q1); Gender Studies (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
89;21100899527;"Australian Feminist Law Journal";journal;"22040064, 13200968";"Routledge";No;No;0,315;Q2;10;11;42;269;54;37;0,96;24,45;68,75;0;Australia;Pacific Region;"Routledge";"2018-2026";"Literature and Literary Theory (Q1); Gender Studies (Q2); Law (Q2); Sociology and Political Science (Q2); Psychology (miscellaneous) (Q3)";"Arts and Humanities; Psychology; Social Sciences"
90;21100461324;"NORMA";journal;"18902146, 18902138";"Taylor and Francis Ltd.";No;No;0,315;Q2;25;34;61;2087;114;49;1,76;61,38;56,86;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2026";"Gender Studies (Q2)";"Social Sciences"
91;21101039844;"International Journal of Men's Social and Community Health";journal;"25619179";"University of Toronto Press";Yes;No;0,311;Q2;10;10;21;547;28;19;0,86;54,70;41,46;0;Canada;Northern America;"University of Toronto Press";"2018-2025";"Gender Studies (Q2); Social Sciences (miscellaneous) (Q2); Health (social science) (Q3)";"Social Sciences"
92;21100983148;"Social Text";journal;"01642472, 15271951";"Duke University Press";No;No;0,302;Q2;16;19;62;1133;63;56;0,93;59,63;23,81;0;United States;Northern America;"Duke University Press";"2019-2025";"Cultural Studies (Q1); Anthropology (Q2); Gender Studies (Q2)";"Social Sciences"
93;21101044834;"Iconos";journal;"13901249, 13908065";"FLACSO Ecuador";Yes;Yes;0,301;Q2;9;33;99;1415;74;93;0,50;42,88;58,33;0;Ecuador;Latin America;"FLACSO Ecuador";"2019-2026";"Anthropology (Q2); Gender Studies (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
94;21100801744;"Violence and Gender";journal;"23267852, 23267836";"Mary Ann Liebert Inc.";No;No;0,301;Q2;26;16;79;662;78;75;1,09;41,38;61,40;0;United States;Northern America;"Mary Ann Liebert Inc.";"2014-2025";"Cultural Studies (Q1); Gender Studies (Q2); Health (social science) (Q3); Psychiatry and Mental Health (Q3); Social Psychology (Q3)";"Medicine; Psychology; Social Sciences"
95;21101089566;"Sexuality, Gender and Policy";journal;"26395355";"John Wiley and Sons Inc";No;No;0,300;Q2;7;39;57;1553;61;48;0,96;39,82;36,67;0;United States;Northern America;"John Wiley and Sons Inc";"2017, 2019-2026";"Cultural Studies (Q1); Gender Studies (Q2); Political Science and International Relations (Q2); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
96;5800207412;"Journal of Intercultural Communication";journal;"14041634";"Immigrant Institutet";No;No;0,299;Q2;14;56;137;3084;222;137;1,66;55,07;53,78;0;Sweden;Western Europe;"Immigrant Institutet";"2011-2026";"Cultural Studies (Q1); Communication (Q2); Gender Studies (Q2); Linguistics and Language (Q2); Education (Q3); Public Administration (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
97;21100901465;"Generos";journal;"20143613";"Hipatia Editorial";Yes;Yes;0,297;Q2;9;12;36;543;46;36;0,96;45,25;73,17;0;Spain;Western Europe;"Hipatia Editorial";"2018-2025";"Gender Studies (Q2); Education (Q3)";"Social Sciences"
98;21100444326;"Masculinities and Social Change";journal;"20143605";"Hipatia Editorial";Yes;Yes;0,293;Q2;18;15;36;871;44;36;1,46;58,07;50,00;0;Spain;Western Europe;"Hipatia Editorial";"2012-2025";"Gender Studies (Q2)";"Social Sciences"
99;23703;"Journal of Feminist Family Therapy";journal;"15404099, 08952833";"Routledge";No;No;0,292;Q2;25;11;44;539;63;41;0,86;49,00;75,00;0;United States;Northern America;"Routledge";"1989-2026";"Gender Studies (Q2); Applied Psychology (Q3)";"Psychology; Social Sciences"
100;29366;"GLQ";journal;"15279375, 10642684";"Duke University Press";No;No;0,285;Q2;55;23;84;1054;78;76;0,88;45,83;33,33;0;United States;Northern America;"Duke University Press";"1996, 1998-2001, 2003-2026";"Cultural Studies (Q1); Gender Studies (Q2)";"Social Sciences"
101;21101105301;"Women, Gender and Research";journal;"22456937";"Kobenhavns Universitet";Yes;Yes;0,280;Q2;6;18;73;861;62;59;0,81;47,83;80,77;0;Denmark;Western Europe;"Kobenhavns Universitet";"2019-2025";"Gender Studies (Q2)";"Social Sciences"
102;5600155076;"Revista de Estudios Sociales";journal;"19005180, 0123885X";"Universidad de los Andes, Colombia";Yes;Yes;0,279;Q2;22;36;95;1913;101;95;1,00;53,14;38,46;0;Colombia;Latin America;"Universidad de los Andes, Colombia";"2007, 2009-2026";"Cultural Studies (Q1); History (Q1); Arts and Humanities (miscellaneous) (Q2); Gender Studies (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
103;21101103382;"Agenda";journal;"2158978X, 10130950";"Taylor and Francis Ltd.";No;No;0,278;Q2;35;12;114;522;99;90;0,90;43,50;47,83;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1987-2026";"Gender Studies (Q2)";"Social Sciences"
104;145252;"Journal of International Women's Studies";journal;"15398706";"Bridgewater State College";Yes;No;0,267;Q2;38;60;453;2410;465;447;0,88;40,17;72,15;0;United States;Northern America;"Bridgewater State College";"2002-2025";"Gender Studies (Q2)";"Social Sciences"
105;21100400185;"Girlhood Studies";journal;"19388209, 19388322";"Berghahn Journals";No;No;0,262;Q2;16;29;90;936;57;76;0,42;32,28;77,27;0;United Kingdom;Western Europe;"Berghahn Journals";"2014-2025";"Gender Studies (Q2); Education (Q3); Sociology and Political Science (Q3); Developmental and Educational Psychology (Q4); Life-span and Life-course Studies (Q4); Social Psychology (Q4)";"Psychology; Social Sciences"
106;21101301814;"Business Ethics and Leadership";journal;"25206311, 25206761";"Academic Research and Publishing UG";Yes;No;0,260;Q2;14;76;156;3740;345;156;2,50;49,21;47,83;0;Germany;Western Europe;"Academic Research and Publishing UG";"2019-2025";"Gender Studies (Q2); Law (Q2); Business, Management and Accounting (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3); Issues, Ethics and Legal Aspects (Q3); Organizational Behavior and Human Resource Management (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Business, Management and Accounting; Decision Sciences; Nursing; Social Sciences"
107;19700171309;"Studies in Social Justice";journal;"19114788";"Social Justice Research Institute";Yes;Yes;0,257;Q2;26;38;136;1833;144;131;0,47;48,24;71,23;0;Canada;Northern America;"Social Justice Research Institute";"2009-2025";"Gender Studies (Q2); Law (Q2); Sociology and Political Science (Q3)";"Social Sciences"
108;18645;"Studies in Gender and Sexuality";journal;"19409206, 15240657";"Taylor and Francis Ltd.";No;No;0,252;Q2;22;48;109;1229;45;90;0,35;25,60;46,51;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2002, 2005-2025";"Gender Studies (Q2)";"Social Sciences"
109;21101170721;"DiGeSt - Journal of Diversity and Gender Studies";journal;"25930281, 25930273";"Universiteit Gent";Yes;Yes;0,251;Q2;9;20;53;691;63;42;1,22;34,55;72,73;0;Belgium;Western Europe;"Universiteit Gent";"2019-2025";"Cultural Studies (Q1); Anthropology (Q2); Gender Studies (Q2); Political Science and International Relations (Q3)";"Social Sciences"
110;23058;"Australian Feminist Studies";journal;"08164649, 14653303";"Routledge";No;No;0,250;Q3;39;45;89;2326;90;80;0,70;51,69;55,41;0;United Kingdom;Western Europe;"Routledge";"1985-2026";"Gender Studies (Q3)";"Social Sciences"
111;5700153725;"Representations";journal;"07346018, 1533855X";"University of California Press";No;No;0,250;Q3;46;19;86;1301;72;84;0,53;68,47;31,25;0;United States;Northern America;"University of California Press";"1983-2026";"Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Gender Studies (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
112;21101133629;"Eunomia. Revista en Cultura de la Legalidad";journal;"22536655";"Universidad Carlos III de Madrid";Yes;Yes;0,246;Q3;9;42;170;1815;56;164;0,39;43,21;31,71;0;Spain;Western Europe;"Universidad Carlos III de Madrid";"2019-2025";"Law (Q2); Gender Studies (Q3); Public Administration (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
113;21101114186;"Comparative Southeast European Studies";journal;"27018199, 27018202";"Walter de Gruyter GmbH";Yes;Yes;0,241;Q3;11;22;79;860;90;78;1,10;39,09;34,48;1;Germany;Western Europe;"Walter de Gruyter GmbH";"2010, 2021-2025";"History (Q1); Anthropology (Q2); Cultural Studies (Q2); Law (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Gender Studies (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
114;5700163965;"NAN NU";journal;"15685268, 13876805";"Brill Academic Publishers";No;No;0,230;Q3;15;9;31;1131;17;24;0,48;125,67;60,00;0;Netherlands;Western Europe;"Brill Academic Publishers";"1999, 2001-2002, 2007-2025";"History (Q1); Literature and Literary Theory (Q1); Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Gender Studies (Q3)";"Arts and Humanities; Social Sciences"
115;5600153334;"Women's History Review";journal;"09612025, 1747583X";"Routledge";No;No;0,227;Q3;32;99;177;4215;137;157;0,75;42,58;76,92;0;United Kingdom;Western Europe;"Routledge";"1992-2026";"History (Q1); Gender Studies (Q3)";"Arts and Humanities; Social Sciences"
116;24329;"Women's Studies";journal;"00497878, 15477045";"Routledge";No;No;0,224;Q3;23;71;165;2125;51;154;0,28;29,93;66,28;0;United Kingdom;Western Europe;"Routledge";"1972-1984, 1986-2026";"Arts and Humanities (miscellaneous) (Q2); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
117;9500154011;"Journal of African American Studies";journal;"19364741, 15591646";"Springer";No;No;0,221;Q3;29;27;84;1030;72;77;0,53;38,15;42,86;0;United States;Northern America;"Springer";"1996, 2003-2005, 2007-2026";"Cultural Studies (Q2); Gender Studies (Q3); Sociology and Political Science (Q3)";"Social Sciences"
118;21101160596;"Journal of Asian American Studies";journal;"10968598";"Johns Hopkins University Press";No;No;0,218;Q3;8;40;76;1026;41;55;0,58;25,65;53,33;0;United States;Northern America;"Johns Hopkins University Press";"2019-2025";"History (Q1); Arts and Humanities (miscellaneous) (Q2); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
119;21101216644;"Advancing Women in Leadership Journal";journal;"10937099";"Texas A and M University";No;No;0,216;Q3;5;31;36;1457;38;35;1,08;47,00;77,42;0;United States;Northern America;"Texas A and M University";"2013, 2017, 2021-2025";"Education (Q3); Gender Studies (Q3)";"Social Sciences"
120;21101061450;"Population and Economics";journal;"26583798";"Pensoft Publishers";Yes;Yes;0,215;Q3;13;39;104;1693;93;101;0,91;43,41;52,00;0;Bulgaria;Eastern Europe;"Pensoft Publishers";"2019-2026";"Demography (Q3); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3); Economics and Econometrics (Q4)";"Economics, Econometrics and Finance; Social Sciences"
121;21100826381;"Woman in Russian Society";journal;"19922892, 2500221X";"Ivanovo State University Publishing";No;No;0,213;Q3;8;41;148;830;30;148;0,24;20,24;71,93;0;Russian Federation;Eastern Europe;"Ivanovo State University Publishing";"2017-2025";"Gender Studies (Q3); Sociology and Political Science (Q3)";"Social Sciences"
122;21101041806;"Meridians";journal;"15478424, 15366936";"Duke University Press";No;No;0,211;Q3;8;32;83;1061;64;75;0,88;33,16;81,08;0;United States;Northern America;"Duke University Press";"2019-2025";"Anthropology (Q2); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
123;23701;"Indian Journal of Gender Studies";journal;"09715215, 09730672";"Sage Publications India Pvt. Ltd";No;No;0,204;Q3;30;16;65;677;38;53;0,54;42,31;73,68;0;India;Asiatic Region;"Sage Publications India Pvt. Ltd";"1994-2026";"Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Gender Studies (Q3); Health (social science) (Q4)";"Arts and Humanities; Social Sciences"
124;21101181923;"Martial Arts Studies";journal;"20575696";"Cardiff University Press";Yes;Yes;0,200;Q3;10;16;33;911;19;30;0,59;56,94;19,23;0;United Kingdom;Western Europe;"Cardiff University Press";"2015-2025";"Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Gender Studies (Q3)";"Arts and Humanities; Social Sciences"
125;21101133325;"Religion and Gender";journal;"25898051, 18785417";"Brill Academic Publishers";No;No;0,200;Q3;20;23;37;1187;24;32;0,52;51,61;81,82;0;Netherlands;Western Europe;"Brill Academic Publishers";"2011-2026";"Cultural Studies (Q2); Religious Studies (Q2); Anthropology (Q3); Gender Studies (Q3)";"Arts and Humanities; Social Sciences"
126;21101263031;"Humanimalia";journal;"21518645";"OpenJournals";Yes;Yes;0,199;Q3;5;21;41;1072;19;36;0,30;51,05;65,00;0;Netherlands;Western Europe;"OpenJournals";"2009, 2016-2017, 2020, 2022-2025";"Cultural Studies (Q2); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
127;21100975684;"Theology and Sexuality";journal;"13558358, 17455170";"Taylor and Francis Ltd.";No;No;0,198;Q3;17;5;28;286;19;27;0,64;57,20;33,33;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Religious Studies (Q2); Gender Studies (Q3)";"Arts and Humanities; Social Sciences"
128;21101169012;"Feminist Formations";journal;"21517363, 21517371";"Johns Hopkins University Press";No;No;0,194;Q3;11;20;128;1102;52;96;0,29;55,10;88,00;0;United States;Northern America;"Johns Hopkins University Press";"2010, 2019-2025";"Literature and Literary Theory (Q1); Cultural Studies (Q2); Philosophy (Q2); Gender Studies (Q3)";"Arts and Humanities; Social Sciences"
129;21101281057;"Indonesian Journal of Criminal Law Studies";journal;"25481576, 25481568";"Universitas Negeri Semarang";No;No;0,193;Q3;2;28;26;1264;19;26;0,73;45,14;33,80;0;Indonesia;Asiatic Region;"Universitas Negeri Semarang";"2023-2025";"Gender Studies (Q3); Law (Q3); Social Sciences (miscellaneous) (Q3); Social Psychology (Q4)";"Psychology; Social Sciences"
130;23132;"Revista Estudos Feministas";journal;"18069584, 0104026X";"Universidade Federal de Santa Catarina";Yes;Yes;0,192;Q3;25;80;284;2387;104;278;0,30;29,84;77,67;0;Brazil;Latin America;"Universidade Federal de Santa Catarina";"1994-1995, 2006-2025";"Gender Studies (Q3)";"Social Sciences"
131;21100897940;"WSQ";journal;"19341520, 07321562";"Feminist Press at CUNY";No;No;0,191;Q3;10;0;34;0;13;14;0,38;0,00;0,00;0;United States;Northern America;"Feminist Press at CUNY";"2018-2019, 2023";"Gender Studies (Q3)";"Social Sciences"
132;21101060886;"Proceedings of the International Conference on Gender Research";conference and proceedings;"25162810";"Academic Conferences and Publishing International Limited";No;No;0,191;-;6;71;150;2270;129;144;1,01;31,97;82,07;0;United Kingdom;Western Europe;"Academic Conferences and Publishing International Limited";"2021-2025";"Gender Studies; Social Sciences (miscellaneous)";"Social Sciences"
133;21100944721;"Cadernos de Traducao";journal;"21757968, 1414526X";"Universidade Federal de Santa Catarina";Yes;Yes;0,190;Q3;8;32;305;1786;78;296;0,28;55,81;53,66;0;Brazil;Latin America;"Universidade Federal de Santa Catarina";"2019-2025";"Literature and Literary Theory (Q1); Cultural Studies (Q2); Linguistics and Language (Q2); Gender Studies (Q3); Artificial Intelligence (Q4); Education (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
134;21100868416;"Laboratorium: Russian Review of Social Research";journal;"20781938, 20768214";"Institute for European Russian and Eurasian Studies, The George Washington University";No;No;0,185;Q3;8;15;56;741;29;56;0,50;49,40;52,38;0;United States;Northern America;"Institute for European Russian and Eurasian Studies, The George Washington University";"2018-2025";"Cultural Studies (Q2); History (Q2); Anthropology (Q3); Gender Studies (Q3); Political Science and International Relations (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
135;21101233761;"Desde el Sur";journal;"20762674, 24150959";"Universidad Cientifica del Sur";Yes;Yes;0,184;Q3;7;102;168;4439;84;157;0,52;43,52;43,79;0;Peru;Latin America;"Universidad Cientifica del Sur";"2021-2025";"Cultural Studies (Q2); Gender Studies (Q3); Library and Information Sciences (Q3); Sociology and Political Science (Q3); Education (Q4); Public Administration (Q4); Safety Research (Q4)";"Social Sciences"
136;21101179091;"Revista Eletronica Direito e Sociedade";journal;"23188081";"Universidade LaSalle - Unilasalle";Yes;Yes;0,184;Q3;4;39;101;1416;22;96;0,28;36,31;48,94;0;Brazil;Latin America;"Universidade LaSalle - Unilasalle";"2019-2025";"Cultural Studies (Q2); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
137;21100229212;"Asian Women";journal;"1225925X";"Sookmyung Women's University";Yes;No;0,183;Q3;14;40;61;2138;53;60;1,15;53,45;49,37;0;South Korea;Asiatic Region;"Sookmyung Women's University";"2008-2025";"Gender Studies (Q3); Sociology and Political Science (Q3)";"Social Sciences"
138;21101124075;"Dotawo";journal;"23732571";"eScholarship Publishing";Yes;Yes;0,179;Q3;3;0;6;0;2;5;0,33;0,00;0,00;0;United States;Northern America;"eScholarship Publishing";"2019-2020, 2023";"Linguistics and Language (Q2); Anthropology (Q3); Gender Studies (Q3); Sociology and Political Science (Q3)";"Social Sciences"
139;17500155104;"Feminist Theology";journal;"17455189, 09667350";"SAGE Publications Ltd";No;No;0,178;Q3;15;25;84;872;27;75;0,38;34,88;77,27;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2026";"Religious Studies (Q2); Gender Studies (Q3)";"Arts and Humanities; Social Sciences"
140;21101087297;"Feminist Encounters";journal;"24684414";"Lectito";Yes;Yes;0,177;Q3;9;29;93;1595;58;84;0,67;55,00;86,84;0;Netherlands;Western Europe;"Lectito";"2019-2026";"Cultural Studies (Q2); Anthropology (Q3); Gender Studies (Q3); Sociology and Political Science (Q3)";"Social Sciences"
141;21101048550;"Ikenga";journal;"20064241, 27144321";"University of Nigeria, Institute of African Studies";No;No;0,176;Q3;5;42;106;1783;43;105;0,42;42,45;31,25;0;Nigeria;Africa;"University of Nigeria, Institute of African Studies";"2019-2025";"Literature and Literary Theory (Q1); Archeology (arts and humanities) (Q2); Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); History (Q2); Religious Studies (Q2); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3)";"Arts and Humanities; Social Sciences"
142;4700152714;"Cadernos de Pesquisa";journal;"19805314, 01001574";"Fundacao Carlos Chagas";Yes;Yes;0,175;Q3;24;22;145;907;55;143;0,35;41,23;54,55;0;Brazil;Latin America;"Fundacao Carlos Chagas";"1983, 2006-2025";"Cultural Studies (Q2); Gender Studies (Q3); Education (Q4)";"Social Sciences"
143;21100232420;"International Journal of Feminist Approaches to Bioethics";journal;"19374585, 19374577";"University of Toronto";No;No;0,175;Q3;18;18;97;1533;53;91;0,80;85,17;57,14;0;United States;Northern America;"University of Toronto";"2012-2025";"Philosophy (Q2); Gender Studies (Q3); Health (social science) (Q4)";"Arts and Humanities; Social Sciences"
144;5700165614;"Journal of Middle East Women's Studies";journal;"15525864, 15589579";"Duke University Press";No;No;0,174;Q3;18;17;97;570;51;92;0,45;33,53;89,47;0;United States;Northern America;"Duke University Press";"2013-2025";"Cultural Studies (Q2); History (Q2); Gender Studies (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
145;21101057633;"Critical Ethnic Studies";journal;"23735031, 2373504X";"University of Minnesota Press";No;No;0,171;Q3;2;0;51;0;8;48;0,15;0,00;0,00;0;United States;Northern America;"University of Minnesota Press";"2020-2024";"Cultural Studies (Q2); Anthropology (Q3); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3)";"Social Sciences"
146;21101051701;"Transitions: Journal of Transient Migration";journal;"23977159, 23977140";"Intellect Ltd.";No;No;0,169;Q3;8;16;16;1020;12;16;0,70;63,75;62,96;0;United Kingdom;Western Europe;"Intellect Ltd.";"2019-2026";"Cultural Studies (Q2); Demography (Q3); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Social Sciences"
147;21101054228;"South Asian Review";journal;"02759527, 25739476";"Taylor and Francis Ltd.";No;No;0,168;Q3;6;60;99;1959;24;80;0,31;32,65;67,86;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2004, 2006, 2011, 2017, 2019-2026";"Literature and Literary Theory (Q1); Cultural Studies (Q2); Linguistics and Language (Q2); Gender Studies (Q3)";"Arts and Humanities; Social Sciences"
148;14724;"Gender and History";journal;"09535233, 14680424";"Wiley-Blackwell Publishing Ltd";No;No;0,166;Q3;42;88;183;0;106;181;0,60;0,00;73,79;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1989-2026";"Arts and Humanities (miscellaneous) (Q2); History (Q2); Gender Studies (Q3); Geography, Planning and Development (Q4)";"Arts and Humanities; Social Sciences"
149;21100814517;"Space and Culture, India";journal;"20528396";"ACCB Publishing";Yes;No;0,166;Q3;17;35;96;1703;52;89;0,56;48,66;42,86;0;United Kingdom;Western Europe;"ACCB Publishing";"2013-2025";"Arts and Humanities (miscellaneous) (Q2); Cultural Studies (Q2); Gender Studies (Q3); Sociology and Political Science (Q3); Development (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Education (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
150;21100896336;"Ex Aequo";journal;"21840385, 08745560";"Associacao Portuguesa de Estudos sobre as Mulheres";Yes;Yes;0,164;Q3;6;25;89;911;29;81;0,26;36,44;85,00;0;Portugal;Western Europe;"Associacao Portuguesa de Estudos sobre as Mulheres";"2018-2025";"Gender Studies (Q3)";"Social Sciences"
151;21101387481;"Human Rights in the Global South";journal;"29625556";"Serikat Pengajar Hak Asasi Manusia Indonesia";No;No;0,164;Q3;3;2;13;151;12;13;0,67;75,50;66,67;0;Indonesia;Asiatic Region;"Serikat Pengajar Hak Asasi Manusia Indonesia";"2022-2025";"Gender Studies (Q3); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)";"Social Sciences"
152;21101075056;"Redescriptions: Political Thought, Conceptual History and Feminist Theory";journal;"23080914, 23080906";"Helsinki University Press";Yes;Yes;0,164;Q3;4;11;33;573;16;27;0,30;52,09;42,86;0;Finland;Western Europe;"Helsinki University Press";"2021-2025";"History (Q2); Gender Studies (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
153;18303;"Acta Poloniae Historica";journal;"00016829, 24508462";"Polska Akademia Nauk";Yes;No;0,162;Q3;9;0;53;0;18;52;0,30;0,00;0,00;0;Poland;Eastern Europe;"Polska Akademia Nauk";"1968, 1999, 2001-2024";"Cultural Studies (Q2); History (Q2); Gender Studies (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
