Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
18;21255;"Feminist Economics";journal;"14664372, 13545701";"Routledge";No;No;0,954;Q1;80;34;107;2464;441;105;2,99;72,47;63,29;3;United Kingdom;Western Europe;"Routledge";"1995-2026";"Arts and Humanities (miscellaneous) (Q1); Business, Management and Accounting (miscellaneous) (Q1); Gender Studies (Q1); Economics and Econometrics (Q2)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
19;28149;"Affilia - Feminist Inquiry in Social Work";journal;"15523020, 08861099";"SAGE Publications Inc.";No;No;0,880;Q1;51;46;134;2477;429;122;2,82;53,85;81,48;0;United States;Northern America;"SAGE Publications Inc.";"1986-2026";"Gender Studies (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)";"Social Sciences"
20;21100197766;"Chinese Sociological Review";journal;"21620555, 21620563";"M.E. Sharpe Inc.";No;No;0,874;Q1;38;31;62;2023;178;62;1,34;65,26;40,30;0;United States;Northern America;"M.E. Sharpe Inc.";"2011-2026";"Anthropology (Q1); Demography (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
21;19700187621;"Psychology and Sexuality";journal;"19419902, 19419899";"Routledge";No;No;0,873;Q1;47;98;182;6419;652;179;2,57;65,50;61,28;0;United Kingdom;Western Europe;"Routledge";"2010-2026";"Gender Studies (Q1); Health (social science) (Q1); Applied Psychology (Q2); Social Psychology (Q2)";"Psychology; Social Sciences"
22;18777;"Violence Against Women";journal;"10778012, 15528448";"SAGE Publications Inc.";No;No;0,862;Q1;126;355;534;21258;1766;522;3,09;59,88;79,75;17;United States;Northern America;"SAGE Publications Inc.";"1995-2026";"Gender Studies (Q1); Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
23;29390;"Gender and Education";journal;"13600516, 09540253";"Routledge";No;No;0,858;Q1;83;72;185;3944;651;182;3,25;54,78;76,40;3;United Kingdom;Western Europe;"Routledge";"1989-2026";"Education (Q1); Gender Studies (Q1)";"Social Sciences"
24;29972;"Journal of Homosexuality";journal;"15403602, 00918369";"Routledge";No;No;0,857;Q1;101;233;431;13158;1513;427;3,53;56,47;55,29;2;United States;Northern America;"Routledge";"1974, 1976-2026";"Education (Q1); Gender Studies (Q1); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2); Social Psychology (Q2)";"Medicine; Psychology; Social Sciences"
25;11400153312;"Feminist Criminology";journal;"15570851, 1557086X";"SAGE Publications Ltd";No;No;0,856;Q1;51;41;75;2659;219;71;2,81;64,85;71,43;1;United Kingdom;Western Europe;"SAGE Publications Ltd";"2006-2026";"Gender Studies (Q1); Law (Q1)";"Social Sciences"
26;21101198446;"De Jure: Jurnal Hukum dan Syar'iah";journal;"20851618, 25281658";"Maulana Malik Ibrahim State Islamic University of Malang";No;No;0,853;Q1;13;25;70;1523;269;70;4,52;60,92;39,39;0;Indonesia;Asiatic Region;"Maulana Malik Ibrahim State Islamic University of Malang";"2020-2025";"Gender Studies (Q1); Law (Q1); Political Science and International Relations (Q1); Religious Studies (Q1)";"Arts and Humanities; Social Sciences"
27;21101198697;"El-Usrah";journal;"26208075, 26208083";"State Islamic University of Ar-Raniry Faculty of Sharia and Law";No;No;0,830;Q1;13;60;110;2997;364;110;4,49;49,95;34,19;0;Indonesia;Asiatic Region;"State Islamic University of Ar-Raniry Faculty of Sharia and Law";"2020-2025";"Anthropology (Q1); Gender Studies (Q1); Law (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
28;11700154719;"Gender in Management";journal;"17542413";"Emerald Group Publishing Ltd.";No;No;0,822;Q1;76;69;186;4970;898;183;4,70;72,03;58,33;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2026";"Business, Management and Accounting (miscellaneous) (Q1); Gender Studies (Q1)";"Business, Management and Accounting; Social Sciences"
29;144973;"Men and Masculinities";journal;"15526828, 1097184X";"SAGE Publications Inc.";No;No;0,811;Q1;82;50;107;2974;366;107;2,68;59,48;57,45;0;United States;Northern America;"SAGE Publications Inc.";"1998-2026";"Gender Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
30;23704;"Journal of Gender Studies";journal;"14653869, 09589236";"Routledge";No;No;0,807;Q1;60;199;253;11434;899;228;2,45;57,46;68,06;3;United Kingdom;Western Europe;"Routledge";"1991-2026";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
31;24273;"Signs";journal;"15456943, 00979740";"University of Chicago Press";No;No;0,806;Q1;96;51;126;2118;247;109;1,69;41,53;90,74;0;United States;Northern America;"University of Chicago Press";"1979, 1985-1987, 1989, 1991, 1993, 1996, 1998-2026";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1)";"Arts and Humanities; Social Sciences"
32;21100873344;"Transgender Health";journal;"2380193X";"Mary Ann Liebert Inc.";Yes;No;0,799;Q1;51;90;239;3310;810;232;3,02;36,78;56,00;3;United States;Northern America;"Mary Ann Liebert Inc.";"2016-2025";"Gender Studies (Q1); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
33;14172;"Feminism and Psychology";journal;"14617161, 09593535";"SAGE Publications Ltd";No;No;0,787;Q1;73;40;91;2349;319;89;2,90;58,73;82,18;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1991-2026";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Psychology (miscellaneous) (Q2)";"Arts and Humanities; Psychology; Social Sciences"
34;15900154722;"Journal of LGBT Youth";journal;"19361661, 19361653";"Routledge";No;No;0,761;Q1;52;6;136;372;463;133;3,22;62,00;43,75;0;United States;Northern America;"Routledge";"2008-2025";"Education (Q1); Gender Studies (Q1)";"Social Sciences"
