Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
21;26216;"European Journal of Migration and Law";journal;"1388364X, 15718166";"Martinus Nijhoff Publishers";No;No;0,928;Q1;44;20;66;2112;181;63;1,98;105,60;60,71;0;Netherlands;Western Europe;"Martinus Nijhoff Publishers";"1999-2025";"Demography (Q1); Law (Q1)";"Social Sciences"
22;27391;"Population, Space and Place";journal;"15448444, 15448452";"John Wiley and Sons Ltd";No;No;0,924;Q1;101;188;336;11705;1213;333;3,50;62,26;51,05;6;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2004-2026";"Demography (Q1); Geography, Planning and Development (Q1)";"Social Sciences"
23;5900153310;"Mobilities";journal;"17450101, 1745011X";"Routledge";No;No;0,902;Q1;79;121;182;8266;719;178;3,89;68,31;56,22;1;United Kingdom;Western Europe;"Routledge";"2006-2026";"Demography (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
24;27387;"Population Research and Policy Review";journal;"15737829, 01675923";"Springer Netherlands";No;No;0,902;Q1;68;59;273;3420;703;273;2,27;57,97;49,03;3;Netherlands;Western Europe;"Springer Netherlands";"1982-2026";"Demography (Q1); Management, Monitoring, Policy and Law (Q2)";"Environmental Science; Social Sciences"
25;21100197766;"Chinese Sociological Review";journal;"21620555, 21620563";"M.E. Sharpe Inc.";No;No;0,874;Q1;38;31;62;2023;178;62;1,34;65,26;40,30;0;United States;Northern America;"M.E. Sharpe Inc.";"2011-2026";"Anthropology (Q1); Demography (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
26;21101109778;"Whiteness and Education";journal;"23793414, 23793406";"Informa UK Limited";No;No;0,850;Q1;18;39;54;2947;140;54;2,26;75,56;58,57;0;United Kingdom;Western Europe;"Informa UK Limited";"2016-2026";"Cultural Studies (Q1); Demography (Q1); Education (Q1)";"Social Sciences"
27;12828;"Population and Environment";journal;"15737810, 01990039";"Springer Science and Business Media B.V.";No;No;0,829;Q1;72;41;81;2786;273;81;2,78;67,95;46,76;2;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1980-1985, 1987-2026";"Demography (Q1); Environmental Science (miscellaneous) (Q2)";"Environmental Science; Social Sciences"
28;21100887441;"Folia Geographica";journal;"24541001, 13366157";"University of Presov";Yes;Yes;0,822;Q1;14;8;28;514;109;28;4,29;64,25;27,27;0;Slovakia;Eastern Europe;"University of Presov";"2018-2025";"Cultural Studies (Q1); Demography (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
29;26855;"International Migration";journal;"14682435, 00207985";"Wiley-Blackwell Publishing Ltd";No;No;0,812;Q1;90;188;365;10595;1002;300;2,59;56,36;54,69;15;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1961-2026";"Demography (Q1)";"Social Sciences"
30;10100153322;"Journal of Immigrant and Refugee Studies";journal;"15562956, 15562948";"Routledge";No;No;0,802;Q1;43;114;180;7112;493;179;2,41;62,39;67,98;8;United States;Northern America;"Routledge";"2006-2026";"Demography (Q1); Geography, Planning and Development (Q1); Health (social science) (Q1)";"Social Sciences"
31;23638;"Gender, Place and Culture";journal;"0966369X, 13600524";"Routledge";No;No;0,760;Q1;90;112;259;6746;698;253;2,43;60,23;79,51;0;United Kingdom;Western Europe;"Routledge";"1994-2026";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Demography (Q1); Gender Studies (Q1)";"Arts and Humanities; Social Sciences"
32;5600155054;"Journal of International Migration and Integration";journal;"14883473, 18746365";"Springer Science and Business Media B.V.";No;No;0,754;Q1;43;155;342;10693;919;341;2,48;68,99;59,37;3;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2004, 2007-2026";"Anthropology (Q1); Cultural Studies (Q1); Demography (Q1)";"Social Sciences"
33;29193;"Journal of Aging and Social Policy";journal;"15450821, 08959420";"Routledge";No;No;0,695;Q1;51;109;193;4857;518;179;2,49;44,56;60,06;6;United States;Northern America;"Routledge";"1989-2026";"Demography (Q1); Gerontology (Q2); Life-span and Life-course Studies (Q2)";"Nursing; Social Sciences"
34;4700151704;"Asian Population Studies";journal;"17441730, 17441749";"Routledge";No;No;0,665;Q1;32;29;60;1565;125;52;1,79;53,97;35,29;1;United Kingdom;Western Europe;"Routledge";"2006-2026";"Demography (Q1)";"Social Sciences"
35;21101188706;"Frontiers in Human Dynamics";journal;"26732726";"Frontiers Media SA";Yes;No;0,621;Q2;18;102;189;6211;575;168;3,36;60,89;45,05;1;Switzerland;Western Europe;"Frontiers Media SA";"2019-2026";"Demography (Q2); Management, Monitoring, Policy and Law (Q2); Sociology and Political Science (Q2); Human-Computer Interaction (Q3)";"Computer Science; Environmental Science; Social Sciences"
36;25818;"International Journal of Refugee Law";journal;"14643715, 09538186";"Oxford University Press";No;No;0,586;Q2;47;20;73;2332;142;68;1,42;116,60;44,44;3;United Kingdom;Western Europe;"Oxford University Press";"1989-2025";"Law (Q1); Demography (Q2); Management, Monitoring, Policy and Law (Q2)";"Environmental Science; Social Sciences"
37;21101039693;"Journal of Population Ageing";journal;"18747876, 18747884";"Springer Science and Business Media B.V.";No;No;0,570;Q2;22;65;145;3782;322;136;1,93;58,18;55,49;1;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"2013-2016, 2018-2026";"Demography (Q2); Geography, Planning and Development (Q2); Sociology and Political Science (Q2)";"Social Sciences"
38;7700153225;"Vienna Yearbook of Population Research";journal;"17285305, 17284414";"Verlag der Oesterreichischen Akademie der Wissenschaften";Yes;Yes;0,527;Q2;34;23;57;1398;113;57;1,78;60,78;34,85;1;Austria;Western Europe;"Verlag der Oesterreichischen Akademie der Wissenschaften";"2005-2025";"Demography (Q2)";"Social Sciences"
39;21100898700;"Journal of Human Trafficking";journal;"23322705, 23322713";"Taylor and Francis Ltd.";No;No;0,519;Q2;28;84;176;4602;376;161;2,09;54,79;71,05;5;United States;Northern America;"Taylor and Francis Ltd.";"2015-2026";"Anthropology (Q1); Law (Q1); Demography (Q2); Sociology and Political Science (Q2); Transportation (Q2)";"Social Sciences"
40;21100258618;"Comparative Population Studies";journal;"18698980, 18698999";"Bundesinstitut fur Bevolkerungsforschung";Yes;Yes;0,482;Q2;25;17;65;764;134;61;2,36;44,94;42,42;0;Germany;Western Europe;"Bundesinstitut fur Bevolkerungsforschung";"2010-2011, 2013-2025";"Demography (Q2)";"Social Sciences"
41;26891;"Mathematical Population Studies";journal;"08898480, 1547724X";"Taylor and Francis Ltd.";No;No;0,462;Q2;26;13;37;434;63;36;1,64;33,38;35,71;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2001, 2003-2026";"Agricultural and Biological Sciences (miscellaneous) (Q2); Demography (Q2); Geography, Planning and Development (Q2); Mathematics (miscellaneous) (Q2)";"Agricultural and Biological Sciences; Mathematics; Social Sciences"
42;21101056926;"Central and Eastern European Migration Review";journal;"23001682";"Polska Akademia Nauk";Yes;Yes;0,460;Q2;13;10;64;606;94;63;1,32;60,60;63,64;0;Poland;Eastern Europe;"Polska Akademia Nauk";"2019-2025";"Demography (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Social Sciences"
43;21100996100;"International Journal of Population Data Science";journal;"23994908";"Swansea University";Yes;No;0,460;Q2;25;52;239;1527;267;214;0,93;29,37;63,83;1;United Kingdom;Western Europe;"Swansea University";"2017-2026";"Demography (Q2); Information Systems (Q2); Information Systems and Management (Q2); Health Informatics (Q3)";"Computer Science; Decision Sciences; Medicine; Social Sciences"
44;145648;"Refuge";journal;"19207336, 02295113";"York University Libraries";Yes;Yes;0,454;Q2;37;8;69;563;70;61;0,93;70,38;73,68;0;Canada;Northern America;"York University Libraries";"1996-2025";"Cultural Studies (Q1); Demography (Q2); Geography, Planning and Development (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Social Sciences"
45;15300154847;"Journal of Population Research";journal;"18359469, 14432447";"Springer Netherlands";Yes;No;0,437;Q2;31;53;82;2824;134;81;1,49;53,28;48,00;0;Netherlands;Western Europe;"Springer Netherlands";"2000, 2002, 2005-2026";"Demography (Q2)";"Social Sciences"
46;26245;"Asian and Pacific Migration Journal";journal;"01171968";"SAGE Publications Inc.";No;No;0,431;Q2;40;36;91;1984;160;88;1,30;55,11;56,00;0;Philippines;Asiatic Region;"SAGE Publications Inc.";"1992-2026";"Demography (Q2); Geography, Planning and Development (Q2)";"Social Sciences"
47;17700156447;"Biodemography and Social Biology";journal;"19485573, 19485565";"Taylor and Francis Ltd.";No;No;0,430;Q2;40;18;52;734;63;45;1,15;40,78;37,50;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1986, 1988, 1990, 1996, 2008-2026";"Anthropology (Q1); Demography (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Genetics (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Social Sciences"
48;21100894548;"Global Studies of Childhood";journal;"20436106";"SAGE Publications Ltd";No;No;0,427;Q2;23;56;100;2821;160;88;1,48;50,38;70,09;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2015-2026";"Demography (Q2); Development (Q2); Education (Q2); Sociology and Political Science (Q2); Developmental and Educational Psychology (Q3)";"Psychology; Social Sciences"
49;21101064943;"Nordic Journal of Migration Research";journal;"1799649X";"Helsinki University Press";Yes;Yes;0,426;Q2;12;22;92;1181;155;87;1,66;53,68;73,81;1;Finland;Western Europe;"Helsinki University Press";"2019-2026";"Anthropology (Q1); Demography (Q2); Geography, Planning and Development (Q2); Law (Q2); Sociology and Political Science (Q2)";"Social Sciences"
50;11900154315;"Letters in Spatial and Resource Sciences";journal;"18644031, 1864404X";"Springer Verlag";No;No;0,404;Q2;25;30;113;1342;240;112;2,25;44,73;15,71;1;Germany;Western Europe;"Springer Verlag";"2008-2026";"Demography (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
51;21100301417;"European Journal of Geography";journal;"24107433, 17921341";"European Association of Geographers";Yes;Yes;0,394;Q2;17;43;84;2741;172;84;2,53;63,74;45,05;0;Belgium;Western Europe;"European Association of Geographers";"2010-2012, 2014-2026";"Cultural Studies (Q1); Demography (Q2); Geography, Planning and Development (Q2); Urban Studies (Q2)";"Social Sciences"
52;21100456777;"Journal of Demographic Economics";journal;"20540892, 20540906";"Cambridge University Press";No;No;0,381;Q2;20;28;79;1503;105;77;1,12;53,68;40,74;2;United Kingdom;Western Europe;"Cambridge University Press";"2015-2026";"Demography (Q2); Geography, Planning and Development (Q2); Economics and Econometrics (Q3)";"Economics, Econometrics and Finance; Social Sciences"
53;26306;"Canadian Studies in Population";journal;"03801489, 1927629X";"Springer Science and Business Media Deutschland GmbH";Yes;No;0,378;Q2;15;17;23;848;33;23;1,27;49,88;52,78;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1975, 1978, 1992, 1994-1996, 2007, 2010-2026";"History (Q1); Demography (Q2)";"Arts and Humanities; Social Sciences"
54;21101393930;"Demographic Review";journal;"24092274";"National Research University Higher School of Economics (HSE University)";No;No;0,377;Q2;6;28;79;985;76;79;1,11;35,18;43,18;0;Russian Federation;Eastern Europe;"National Research University Higher School of Economics (HSE University)";"2024-2025";"Demography (Q2); Geography, Planning and Development (Q2); Social Sciences (miscellaneous) (Q2)";"Social Sciences"
55;89299;"Revista Brasileira de Estudos de Populacao";journal;"01023098";"Associacao Brasileira de Estudos Populacionais";Yes;Yes;0,373;Q2;19;28;103;1207;74;95;0,50;43,11;43,10;0;Brazil;Latin America;"Associacao Brasileira de Estudos Populacionais";"1984-1992, 1996, 2007-2025";"Demography (Q2)";"Social Sciences"
