id,first_seen,section
"https://openalex.org/W7213530381","2026-09-21","articulos"
"https://openalex.org/W7213365380","2026-09-21","articulos"
"https://openalex.org/W7213470138","2026-09-21","articulos"
"https://openalex.org/W7213636686","2026-09-21","articulos"
"https://openalex.org/W7213644488","2026-09-21","articulos"
"https://openalex.org/W7213644742","2026-09-21","articulos"
"https://openalex.org/W7213346705","2026-09-21","temas"
"https://openalex.org/W7213453028","2026-09-21","temas"
"https://openalex.org/W7213249141","2026-09-21","temas"
"https://openalex.org/W7213434556","2026-09-21","temas"
"https://openalex.org/W7213458566","2026-09-21","temas"
"https://openalex.org/W7213591923","2026-09-21","temas"
"https://openalex.org/W7213523548","2026-09-21","temas"
"https://openalex.org/W7213454630","2026-09-21","temas"
"https://openalex.org/W7213539198","2026-09-21","temas"
"https://openalex.org/W7213275463","2026-09-21","temas"
"https://openalex.org/W7213443524","2026-09-21","temas"
"https://openalex.org/W7213342428","2026-09-21","temas"
